"EP/K014676/1","['34731', '-189227', '-180507', '-4361', '78969', '-4313', '93532', '92032', '102972', '-305209', '110062', '87797']"
"EP/N009746/1","['14056', '15285', '91269', '50620', '110009', '115825', '-80766', '-37650', '82737', '34707', '-6173']"
"EP/N009924/1","['-117637', '-256780', '-254051', '-258571', '4738', '-121092', '-89834', '-411741', '-515715', '-522125', '-541649', '56833']"
"EP/K014765/1","['-462181']"
"EP/K014838/1","['34702']"
"EP/K014633/1","['70854']"
"EP/K014900/1","['64658', '-11487', '-4011', '-418213', '-303196']"
"EP/K01479X/1","['-3985', '105310', '-269286']"
"EP/M013200/1","['92020', '-3308', '-102488', '-43572', '-50416', '105310', '-249813']"
"EP/N030141/1","['-531019']"
"EP/M013162/1","['17161', '-200928', '-424659', '103908']"
"EP/K036769/1","['71113', '8058', '71114']"
"EP/P510336/1","['-352224', '-449225']"
"EP/M01343X/1","['83557', '115732', '105310', '-460013', '1924', '-481479', '46168', '-252133', '-210901', '-87693', '53551']"
"EP/J000361/1","['-7039', '14765', '98279', '93744', '-271976', '-197514', '27733', '-166876', '16863', '-121218', '-108073', '118458', '-100508', '-76055', '-367941', '-15558', '-15052', '-15103', '-17765', '-15390', '-16316', '-6910', '-4106']"
"EP/J017302/1","['-124555', '-189550', '50173', '-10368', '1924', '-79436', '12657', '-151814', '17184']"
"EP/K000616/2","['78969']"
"EP/L002639/1","['93744', '-15558']"
"EP/P51035X/1","['121818', '-110026']"
"EP/N030095/1","['-527492']"
"EP/I017909/1","['53062', '30452', '8392', '21769', '110695', '35009']"
"EP/N018869/1","['-439159']"
"EP/G036861/1","['62200', '4267', '109273']"
"EP/K026992/1","['-108516']"
"EP/M008401/1","['70800', '-5103']"
"EP/K004980/1","['-394102']"
"EP/K031783/1","['27155', '-185551']"
"EP/N035267/1","['-10038', '43013', '117308', '81226']"
"EP/N019598/1","['-455480']"
"EP/N03001X/1","['11753']"
"EP/N009134/1","['94958']"
"EP/M01262X/1","['11753']"
"EP/M012573/1","['-251298']"
"EP/F500416/1","['15617']"
"EP/N010914/1","['32110', '-139467', '-3155', '16199', '15984', '-70595', '60514', '116954', '68984', '-517712']"
"EP/N024117/1","['27351', '52957', '99135']"
"EP/L017911/1","['11753']"
"EP/M01732X/1","['31756', '-187085', '-13724']"
"EP/N021134/1","['-243788', '-369681', '116696', '-456060', '-529868']"
"EP/J016012/1","['97107']"
"EP/N034295/1","['-197334']"
"EP/N034260/1","['-558254', '-97724']"
"EP/M012530/1","['102', '-493739']"
"EP/L012898/1","['15713', '-165210']"
"EP/M022536/1","['-380318']"
"EP/K020374/1","['-416875', '52780']"
"EP/N025059/1","['115867', '-383844', '-396369', '-27474', '309', '-160927', '55546', '67858']"
"EP/M019950/1","['115867', '119191', '-191870']"
"EP/M020002/1","['-230755']"
"EP/N034228/1","['-387906', '72178', '-551739']"
"EP/N034368/1","['122884']"
"EP/N510075/1","['92919']"
"EP/L024225/1","['72178', '-124919']"
"EP/J007846/1","['434', '13767']"
"EP/L024160/1","['434', '28423']"
"EP/M016064/1","['36732']"
"EP/M028550/1","['21285']"
"EP/K026380/1","['-258455', '-126294', '-159967', '-366569']"
"EP/K016210/1","['-6363']"
"EP/N019938/1","['54564', '32414']"
"EP/M002209/1","['50320']"
"EP/M027325/1","['-486966']"
"EP/N03127X/1","['-440002']"
"EP/M000230/1","['17189', '132037']"
"EP/L015072/1","['-210558', '-201525', '-431637', '46006', '81742', '-2831', '4770', '-164335']"
"EP/L014904/1","['-68628', '101915']"
"EP/L015595/1","['3247', '28648', '17347', '7905', '118997', '68984', '34035', '125468']"
"EP/L016028/1","['76548', '5103', '-87368', '17375', '68917']"
"EP/L016737/1","['114270', '-213750', '-32636']"
"EP/L016281/1","['434', '52001', '37709', '-2613', '79834', '34860']"
"EP/L014823/1","['24520', '-2128']"
"EP/K029592/1","['24520', '50730', '6220', '3091', '38418', '58801']"
"EP/N027345/1","['-157990', '112421', '-540343', '-546181']"
"EP/N027221/1","['17189', '132037', '81742', '-256975', '-542778']"
"EP/L024713/1","['-249581', '-325571']"
"EP/N023579/1","['-162772', '-262265']"
"EP/N027000/1","['110550', '-399895', '15482', '6588', '41037']"
"EP/N009118/1","['55374']"
"EP/N026489/1","['-269537', '-392192', '-250949']"
"EP/L010259/1","['-75557']"
"EP/M027821/1","['-219769']"
"EP/M027929/1","['-99150']"
"EP/G036675/1","['31891', '-211444']"
"EP/P00301X/1","['27898', '114829', '82760', '-465853', '55364', '106997', '-400058']"
"EP/K027549/1","['-383844']"
"EP/I032355/2","['125851']"
"EP/L020904/1","['-3404', '-417791', '-14030', '-268014', '-254877']"
"EP/L000202/1","['2663', '52217', '41416', '-5438', '76723', '74086', '43972', '8088', '44257', '107909']"
"EP/L017997/1","['-452872']"
"EP/M027740/1","['-421154', '111786']"
"EP/N00941X/1","['24520', '35749']"
"EP/K035142/1","['83405', '-74498']"
"EP/K034898/1","['104346', '-216661', '-9083', '-262716']"
