"GR/K57848/01","[[['latimer, professor c', '24978'], ['holland, dr d', '40029'], ['holland, dr d', '69810']], 671727]"
"GR/K99732/01","[[['dalton, dr nsc', '-167029'], ['penn, professor a', '12295']], 67342]"
"GR/J12963/01","[[['van vliet, dr d', '22089']], 168590]"
"GR/H28158/01","[[['hearn, professor ge', '7077'], ['varyani, dr k', '16243'], ['incecik, professor a', '44626']], 150699]"
"GR/M65724/01","[[['attard, professor ga', '590']], 212682]"
"GR/H77606/01","[[['whalley, dr p', '16847'], ['darton, professor rc', '3804'], ['kenning, professor dbr', '8754']], 133781]"
"GR/H15370/01","[[['allen, professor gc', '34809']], 133821]"
"GR/M71459/01","[[['lam, professor yw', '9113'], ['collier, professor c', '-250362']], 258449]"
"GR/H24990/01","[[['snape, professor ce', '14765']], 4000]"
"GR/H25546/01","[[['hughes, professor r', '25703'], ['hutchings, professor g', '7937']], 72559]"
"GR/L19812/01","[[['fleck, professor n', '5300'], ['sutcliffe, dr m', '38341'], ['kelly, professor a', '38654'], ['clyne, professor tw', '21378']], 212079]"
"GR/K95208/01","[[['colligon, professor j', '26125'], ['carter, professor g', '2615'], ['donnelly, professor s', '4332']], 59560]"
"GR/J13069/01","[[['henshall, professor jl', '98427'], ['pine, professor rj', '12490'], ['wakeman, professor r', '16377'], ['wills, dr b', '17240'], ['beer, mr a', '27951']], 127930]"
"GR/J13069/02","[[['henshall, professor jl', '98427'], ['pine, professor rj', '12490'], ['wakeman, professor r', '16377'], ['wills, dr b', '17240'], ['beer, mr a', '27951']], 77697]"
"GR/K60992/01","[[['yule, professor a', '17730']], 75379]"
"GR/L58446/01","[[['baldwin, professor j', '776'], ['martin, professor t', '30719']], 233594]"
"GR/M41407/01","[[['shuttleworth, dr r', '-122094'], ['varlow, professor b', '16240'], ['axcell, dr b', '629']], 178092]"
"GR/L69626/01","[[['fairhurst, professor g', '50284']], 53534]"
"GR/F86847/01","[[['tomlinson, professor g', '21299'], ['billings, professor sa', '25230']], 87809]"
"GR/K16470/01","[[['jones, dr k', '23354']], 6246]"
"GR/H88206/01","[[['parker, professor g', '12075']], 262681]"
"GR/L32286/01","[[['simpson, dr c', '14455']], 52643]"
