Source	Target	Type	Weight	TotalVal
36	112	Undirected	2.0	7012467
36	118	Undirected	1.0	282013
37	39	Undirected	1.0	298433
37	41	Undirected	3.0	3561811
37	42	Undirected	1.0	147434
37	44	Undirected	1.0	2190025
37	55	Undirected	2.0	1640915
37	60	Undirected	2.0	860338
37	80	Undirected	2.0	3923698
37	91	Undirected	1.0	147434
37	99	Undirected	4.0	4583708
37	110	Undirected	1.0	2190025
37	117	Undirected	3.0	3807214
38	39	Undirected	8.0	16337875
38	42	Undirected	2.0	5386601
38	48	Undirected	4.0	3936404
38	50	Undirected	1.0	1934793
38	52	Undirected	3.0	6780849
38	55	Undirected	16.0	46115983
38	58	Undirected	2.0	3055546
38	59	Undirected	3.0	12365043
38	62	Undirected	1.0	461220
38	72	Undirected	3.0	5288997
38	79	Undirected	1.0	995080
38	80	Undirected	1.0	10220725
38	81	Undirected	1.0	995080
38	82	Undirected	1.0	995080
38	87	Undirected	1.0	2931366
38	88	Undirected	6.0	9387359
38	96	Undirected	3.0	6929517
38	98	Undirected	1.0	961156
38	102	Undirected	1.0	461220
38	114	Undirected	1.0	961156
39	40	Undirected	6.0	1410108
39	42	Undirected	1.0	1004316
39	45	Undirected	2.0	7386060
39	46	Undirected	1.0	99782
39	47	Undirected	3.0	9991915
39	48	Undirected	8.0	15894715
39	50	Undirected	2.0	10011460
39	52	Undirected	7.0	24982203
39	55	Undirected	12.0	12951513
39	57	Undirected	1.0	1004316
39	58	Undirected	3.0	1350225
39	69	Undirected	2.0	11878986
39	76	Undirected	1.0	466444
39	82	Undirected	1.0	101247
39	83	Undirected	1.0	4051357
39	85	Undirected	1.0	233039
39	88	Undirected	2.0	290941
39	93	Undirected	1.0	296437
39	96	Undirected	1.0	4217380
39	97	Undirected	2.0	4367276
39	98	Undirected	2.0	6456181
39	102	Undirected	1.0	4062954
39	106	Undirected	1.0	4217380
39	107	Undirected	1.0	240435
39	112	Undirected	2.0	9993434
40	41	Undirected	1.0	1656509
40	55	Undirected	2.0	6321762
40	56	Undirected	7.0	2081562
40	57	Undirected	2.0	6290746
40	58	Undirected	1.0	1363268
40	60	Undirected	1.0	1656509
40	61	Undirected	5.0	1375400
40	68	Undirected	9.0	8459008
40	73	Undirected	1.0	2321649
40	76	Undirected	1.0	1500938
40	79	Undirected	3.0	1681777
40	81	Undirected	1.0	379032
40	82	Undirected	7.0	5953083
40	85	Undirected	1.0	279240
40	87	Undirected	3.0	753054
